Session,Date,O_RTH,H_RTH,L_RTH,C_RTH,HOD_Time,LOD_Time,Extreme_First,PUV_Points,PDV_Points,PUV_Percent,PDV_Percent,RTH_Range_Points,Calendar_Days_Since_Previous_Complete,ATR_Sequence_Reset,Previous_Complete_RTH_Close,TR_RTH,ATR14_Previous,ATR14_End,PUV_ATR,PDV_ATR,RTH_Volume,Bar_Count,Duplicate_Bars
209,2013-01-15,2122.25,2131.25,2121.25,2129.25,15:45:00,09:32:00,LOD_FIRST,9,1,0.42407822,0.0471198,10,1,0,2129,10,15.21248181,14.84016168,0.59161944,0.06573549,973752,390,0
210,2013-01-17,2136.5,2143.5,2133.25,2138.75,14:22:00,10:05:00,LOD_FIRST,7,3.25,0.32763866,0.15211795,10.25,2,0,2129.25,14.25,14.84016168,14.79800727,0.47169297,0.21900031,1270835,390,0
211,2013-01-18,2139.25,2144,2133.5,2142.5,16:00:00,11:49:00,LOD_FIRST,4.75,5.75,0.22204043,0.26878579,10.5,1,0,2138.75,10.5,14.79800727,14.49100676,0.32098917,0.38856583,1102887,390,0
212,2013-01-22,2142.5,2150.5,2138.75,2150,16:00:00,10:33:00,LOD_FIRST,8,3.75,0.37339557,0.17502917,11.75,4,0,2142.5,11.75,14.49100676,14.29522056,0.55206654,0.25878119,931108,390,0
213,2013-01-24,2150.5,2160.75,2149.25,2153.25,11:28:00,13:49:00,HOD_FIRST,10.25,1.25,0.47663334,0.05812602,11.5,2,0,2150,11.5,14.29522056,14.09556195,0.71702286,0.08744181,1436948,390,0
214,2013-01-28,2162,2162.5,2154.25,2159.5,09:31:00,10:18:00,HOD_FIRST,0.5,7.75,0.02312673,0.35846438,8.25,4,0,2153.25,9.25,14.09556195,13.74945038,0.03547216,0.54981845,922934,390,0
215,2013-01-29,2157,2167.75,2156,2166,15:34:00,10:09:00,LOD_FIRST,10.75,1,0.49837738,0.04636069,11.75,1,0,2159.5,11.75,13.74945038,13.6066325,0.78184943,0.07273018,1168861,390,0
216,2013-02-01,2165.75,2173.5,2163,2171.25,13:59:00,09:51:00,LOD_FIRST,7.75,2.75,0.3578437,0.1269768,10.5,3,0,2166,10.5,13.6066325,13.38473017,0.56957517,0.20210732,1253289,390,0
217,2013-02-04,2162,2164.75,2153.25,2154.5,10:02:00,15:52:00,HOD_FIRST,2.75,8.75,0.12719704,0.40471785,11.5,3,0,2171.25,18,13.38473017,13.7143923,0.20545801,0.65373003,1329651,390,0
218,2013-02-06,2164.25,2171.75,2163,2170.75,12:46:00,09:35:00,LOD_FIRST,7.5,1.25,0.34654037,0.05775673,8.75,2,0,2154.5,17.25,13.7143923,13.96693571,0.54687075,0.09114512,1274744,390,0
